id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_nom_voie,code_postal,code_commune,nom_commune,id_parcelle,longitude,latitude
2017-804801,2017-06-26,Vente,520000.0,FERME DE BUTERNE,59116.0,59317,Houplines,593170000A5789,2.920227,50.686597
2017-737544,2017-03-07,Vente,42500.0,RUE MATHIEU DE DOMBASLE,54110.0,54159,Dombasle-sur-Meurthe,54159000AB0208,6.350117,48.627016
2017-1121030,2017-07-05,Vente,139000.0,RUE DE LA CALABRE,79400.0,79270,Saint-Maixent-l'École,79270000AP1193,-0.206825,46.410542
2017-78992,2017-11-17,Vente,90000.0,CHABAUDE,7200.0,7131,Lanas,071310000D0695,4.402417,44.538637
2017-421251,2017-08-22,Vente en l'état futur d'achèvement,220000.0,BD ALBERT 1ER,33800.0,33063,Bordeaux,33063000CE0092,-0.570103,44.813546
2017-894006,2017-08-29,Vente,91500.0,PALAIS DES PYRENEES BLOC B,64000.0,64445,Pau,64445000BY0250,-0.368111,43.295072
2017-423007,2017-10-23,Vente,495000.0,ALL DU MOULIN DE DESCLAU,33170.0,33192,Gradignan,33192000BN0031,-0.604586,44.773465
2017-286165,2017-06-12,Vente,65000.0,RUE JULES MASSENET,26000.0,26362,Valence,26362000AT0169,4.907035,44.931517
2017-606001,2017-12-22,Vente,60000.0,RUE FRANCOIS POUTIGNAT,42300.0,42187,Roanne,42187000AZ0625,4.067236,46.043799
2017-699391,2017-02-17,Vente,45000.0,PETIT BOURG D AMONT,49420.0,49056,Carbay,490560000B0385,-1.221738,47.734718
2017-451908,2017-01-12,Vente en l'état futur d'achèvement,182000.0,RUE DE LA MARQUEROSE,34070.0,34172,Montpellier,34172000ER0008,3.86943,43.587075
2017-1085716,2017-08-02,Vente,240000.0,RUE DES CAPUCINES,77420.0,77083,Champs-sur-Marne,77083000BA0667,2.588594,48.862224
2017-1077602,2017-07-19,Vente,99000.0,AVE DE GAULLE 27 FOUGERES,77210.0,77014,Avon,770140000A0931,2.733497,48.421202
2017-466886,2017-01-31,Vente en l'état futur d'achèvement,167169.0,CANTAUSSEL,34670.0,34244,Saint-Brès,342440000B0706,4.03969,43.67016
2017-822914,2017-12-26,Vente,30000.0,RUE VICTOR HUGO,59227.0,59558,Saulzoir,595580000B2081,3.440701,50.239491
2017-248004,2017-04-24,Vente,305800.0,LES HAUTS,22650.0,22209,Beaussais-sur-Mer,222090000B1218,-2.127292,48.573549
